epoch,learning_rate,train_loss,train_miou,val_loss,val_miou,val_road_iou,val_lane_iou,val_pixel_accuracy
1,0.00029917828430524096,0.5810429354814383,0.5901503370830764,0.7582120425360543,0.41124982367231305,0.6348457122340697,0.18765393511055642,0.7378309275793651
2,0.0002967221401100708,0.24515830443455622,0.8654871883199873,0.6259022278445108,0.6172722618221987,0.7570052999138458,0.4775392237305517,0.9036172123015873
3,0.00029265847744427303,0.1703750480596836,0.8873516791276632,0.835994451386588,0.552952648553763,0.6757994407033018,0.43010585640422433,0.8769904761904762
4,0.0002870318186463901,0.11014693484856532,0.9221567038861034,0.6388357939038958,0.6171193056919526,0.7637640385906175,0.4704745727932878,0.8998673611111111
5,0.0002799038105676658,0.10885527613071296,0.917179517030835,0.5834810030460358,0.6686558377565969,0.8192705512236498,0.518041124289544,0.9315557291666666
6,0.0002713525491562421,0.07324827440656148,0.9422989327870513,0.4048392408234732,0.7348035849585922,0.830387954744006,0.6392192151731785,0.9343817460317461
7,0.00026147172382160914,0.06206470168553866,0.9495999446311029,0.672319923554148,0.7181825566014071,0.7731129354473101,0.663252177755504,0.9182945932539682
8,0.00025036959095382875,0.05591722425359946,0.9545543801964853,0.6056419597353254,0.7361850109453718,0.7877287517810795,0.684641270109664,0.9228637152777778
9,0.000238167787843871,0.05559145615651057,0.9544365168195883,0.6936936577728816,0.7015278112538645,0.7592056663860185,0.6438499561217105,0.9125313492063492
10,0.00022500000000000002,0.04937316708266735,0.956978647112285,0.6993843488182341,0.713813565273212,0.7568209568870914,0.6708061736593327,0.9132329861111111
11,0.0002110104964613701,0.04214529801446658,0.9621999048791174,0.6132316510166441,0.7182835981666116,0.7986272518012495,0.6379399445319737,0.9260449156746031
12,0.00019635254915624216,0.0654791337538224,0.9394079769495993,0.6666120042971202,0.6392687361942531,0.7389474773430831,0.539589995045423,0.8952883928571429
13,0.00018118675362266393,0.046698700097891004,0.9587582344868699,0.6999881002732685,0.7067384018346554,0.7872533073408831,0.6262234963284279,0.9224083333333334
14,0.0001656792694901481,0.039789206262391345,0.9647012802577288,0.6364110580512455,0.7246501177247255,0.7996722542725186,0.6496279811769323,0.9277221974206349
15,0.00027160911644818597,0.05486997772867863,0.951501699526288,0.48524747908115384,0.736851026753784,0.8040725529338256,0.6696295005737424,0.925078621031746
16,4.9453690018345144e-05,0.036537134249049884,0.9666382671919065,0.5106348419189453,0.7656782463223897,0.8108518903657074,0.720504602279072,0.9323334821428572
17,4.783863644106502e-05,0.03373913907374327,0.9689839454410552,0.7581616651160377,0.6907597679014283,0.7621404166167277,0.619379119186129,0.9128049107142857
18,4.522542485937369e-05,0.032313564477058555,0.9701472830800044,0.8502956404856273,0.721201598633452,0.7369034017164637,0.7054997955504403,0.9071809275793651
19,4.172826515897146e-05,0.030720468043134764,0.97094475408169,0.6589489741836275,0.7509644573134426,0.7801143213238956,0.7218145933029896,0.9216495535714285
20,3.7500000000000003e-05,0.029670419000948852,0.9720882325783944,0.8047937655448913,0.7374773553603701,0.7554589849438282,0.7194957257769119,0.9141295882936508
21,3.272542485937369e-05,0.028600363419033013,0.9727671048820528,0.7324130645820073,0.7435494043108051,0.7775809667448269,0.7095178418767834,0.9218314236111111
22,2.7613211581691344e-05,0.028245406534809333,0.973914044666927,0.8374541238376072,0.7283467800171077,0.7565004744997417,0.7001930855344739,0.9141419890873016
23,2.2386788418308672e-05,0.028369329075973768,0.9742155125647568,0.7576885485649109,0.7444536970281312,0.7696128554849184,0.7192945385713442,0.9184197916666667
24,1.727457514062632e-05,0.027392852551375444,0.9747948245214446,0.7283713688169207,0.7508701590809637,0.7763035429065177,0.7254367752554096,0.921160689484127
25,1.2500000000000009e-05,0.026826555396501833,0.9747646633024224,0.7058965505020959,0.7537900101814448,0.7795103252891052,0.7280696950737844,0.9217982390873016
26,8.271734841028555e-06,0.025317034734269748,0.9753440041743462,0.7568601302589689,0.7403283208604239,0.7759372878715481,0.7047193538492996,0.920232316468254
27,4.774575140626317e-06,0.025890322542534424,0.9753601778739214,0.6620565668174199,0.7659688116463891,0.7884535217373866,0.7434841015553916,0.9251478174603175
28,2.161363558934976e-06,0.02527612173499969,0.9759000443362235,0.6610456137146269,0.7569846459833026,0.7877427025642725,0.7262265894023328,0.9240049851190476
29,5.46309981654858e-07,0.02542685394318631,0.9760919609570626,0.6888629135063716,0.7599908582714744,0.7845873312889662,0.7353943852539826,0.923774751984127
30,0.0,0.025079588814137074,0.9759517701327091,0.7162114388602121,0.7551624814686055,0.7788444792411512,0.7314804836960599,0.9218841021825397
